TARGET,cat,avg_conj_sentiment,TARGET_pol
inconsistent,epistemic,-0.270496793755629,negative
illogical,epistemic,-0.331305651195499,negative
inaccurate,epistemic,-0.337167930288462,negative
invalid,epistemic,-0.356052381546135,negative
unreasonable,epistemic,-0.369298433605501,negative
inappropriate,epistemic,-0.400484244298415,negative
reasonable,epistemic,0.313576280282638,positive
consistent,epistemic,0.300464976205256,positive
logical,epistemic,0.288644760191847,positive
appropriate,epistemic,0.277564283164783,positive
valid,epistemic,0.266781315342517,positive
accurate,epistemic,0.194354628428928,positive
illegitimate,legal,-0.281169060773481,negative
unlawful,legal,-0.331422025782689,negative
illegal,legal,-0.364870776662951,negative
unjust,legal,-0.398129870881567,negative
just,legal,0.261052564102564,positive
legitimate,legal,0.247126261273572,positive
lawful,legal,0.226239919354839,positive
legal,legal,0.185220178864756,positive
constitutional,legal,0.0760848476454294,positive
improper,tc,-0.286293678756477,negative
careless,tc,-0.34278198466396,negative
deceptive,tc,-0.373663805970149,negative
unfair,tc,-0.379210642006047,negative
dishonest,tc,-0.396020483359746,negative
truthful,tc,0.387593980358174,positive
honest,tc,0.307730459211237,positive
proper,tc,0.307559069605568,positive
careful,tc,0.297917467404188,positive
fair,tc,0.254898025144054,positive
