TARGET,cat,avg_conj_sentiment,TARGET_pol,TARGET_pol_new
cheap,descriptive,0.315736730769231,neutral,positive
mature,descriptive,0.291814692307692,neutral,positive
pragmatic,descriptive,0.22564025,neutral,negative
opposite,descriptive,0.225363555555556,neutral,negative
meticulous,descriptive,0.208333333333333,neutral,positive
practical,descriptive,0.180698520179372,neutral,positive
explicit,descriptive,0.134055840255591,neutral,negative
intuitive,descriptive,0.119150384615385,neutral,positive
public,descriptive,0.104483841313269,neutral,positive
uncommon,descriptive,0.0922988888888889,neutral,positive
limited,descriptive,0.0887535909393738,neutral,negative
substantial,descriptive,0.0783989545810493,neutral,positive
human,descriptive,0.0746572532188841,neutral,NA
active,descriptive,0.0680110443037975,neutral,positive
secret,descriptive,0.0680038759689922,neutral,positive
single,descriptive,0.0662188764044944,neutral,positive
spontaneous,descriptive,0.0455900531914894,neutral,positive
conventional,descriptive,0.0390535087719298,neutral,positive
settled,descriptive,0.0360185714285714,neutral,positive
dramatic,descriptive,0.0296336625514403,neutral,positive
formal,descriptive,0.0254615856777494,neutral,positive
international,descriptive,0.0182600149476831,neutral,positive
primary,descriptive,0.0164920966420966,neutral,positive
complex,descriptive,-0.0132672569089048,neutral,negative
unspecific,descriptive,-0.159764,neutral,negative
ambiguous,descriptive,-0.193265431472081,neutral,positive
intentional,descriptive,-0.248860449152542,neutral,positive
tricky,descriptive,-0.342648,neutral,negative
unreasonable,epistemic,-0.201670924924925,negative,negative
inconsistent,epistemic,-0.22453385883905,negative,negative
invalid,epistemic,-0.252603414634146,negative,negative
illogical,epistemic,-0.272720866666667,negative,negative
inappropriate,epistemic,-0.30934390070922,negative,negative
inaccurate,epistemic,-0.384158395378691,negative,negative
accurate,epistemic,0.297901318285901,positive,positive
appropriate,epistemic,0.228126057633354,positive,positive
logical,epistemic,0.20316547826087,positive,positive
consistent,epistemic,0.186941782312925,positive,positive
reasonable,epistemic,0.160340569996868,positive,positive
valid,epistemic,0.154226400537634,positive,positive
unlawful,legal,-0.057050293255132,negative,negative
illegitimate,legal,-0.183883098591549,negative,negative
unjust,legal,-0.255137582938389,negative,negative
illegal,legal,-0.286164256900212,negative,negative
just,legal,0.286354,positive,positive
legal,legal,0.18131821994302,positive,positive
legitimate,legal,0.146155222222222,positive,positive
lawful,legal,0.0770532814710043,positive,positive
constitutional,legal,-0.095694908616188,positive,positive
unfair,tc,-0.286920867602808,negative,negative
improper,tc,-0.301960087565674,negative,negative
deceptive,tc,-0.424755252631579,negative,negative
dishonest,tc,-0.429104170403587,negative,negative
careless,tc,-0.431683211678832,negative,negative
honest,tc,0.407553865546218,positive,positive
truthful,tc,0.323261940864291,positive,positive
fair,tc,0.237622455991516,positive,positive
careful,tc,0.200843235470342,positive,positive
proper,tc,0.146489227756016,positive,positive
