document,TTR,CTTR,K,TARGET,n,cat,TARGET_pol
text16,0.111519134132199,5.67214864025437,170.691553572328,inappropriate,5174,epistemic,negative
text30,0.145466265577997,7.01714549501092,202.155928544954,unreasonable,4654,epistemic,negative
text15,0.152163461538462,6.93972157776687,217.494914940828,inaccurate,4160,epistemic,negative
text13,0.166244725738397,7.00894545960348,153.665624177828,illogical,3555,epistemic,negative
text17,0.19903932752927,8.12290201073195,102.351742286848,inconsistent,3331,epistemic,negative
text18,0.291770573566085,5.84270118243539,200.993774914335,invalid,802,epistemic,negative
text23,0.106847855049294,6.54568482855437,212.791841311568,logical,7506,epistemic,positive
text1,0.110058187863674,6.03566567852098,1098.09018600631,accurate,6015,epistemic,positive
text25,0.10699865410498,5.83314426406407,122.07193111481,reasonable,5944,epistemic,positive
text31,0.091526703151538,4.7111809044281,634.957633177431,valid,5299,epistemic,positive
text5,0.168011587006,8.25909827550418,113.376255876548,consistent,4833,epistemic,positive
text2,0.162700773349197,6.67073170731707,188.614677603661,appropriate,3362,epistemic,positive
text11,0.162393162393162,5.95675297313108,351.854820857778,illegal,2691,legal,negative
text28,0.167408726625111,5.61006600723387,225.365525652015,unjust,2246,legal,negative
text29,0.292817679558011,4.82483217582352,278.820684485957,unlawful,543,legal,negative
text12,0.428176795580111,5.76052963341554,209.547938097128,illegitimate,362,legal,negative
text21,0.0932651943785362,4.881522013032,310.653686056313,legal,5479,legal,positive
text22,0.165345722875102,7.07227552982196,124.409548918192,legitimate,3659,legal,positive
text20,0.159274193548387,3.5472047150288,542.342774453694,lawful,992,legal,positive
text6,0.191135734072022,3.63157894736842,625.455605773436,constitutional,722,legal,positive
text19,0.256410256410256,1.1322770341446,1913.21499013807,just,39,legal,positive
text27,0.116841543659968,6.19535689789535,111.657144545144,unfair,5623,tc,negative
text8,0.131141045958796,6.58845097214522,125.359936056018,dishonest,5048,tc,negative
text4,0.193955796120884,6.45759213375931,277.486328324879,careless,2217,tc,negative
text7,0.299573560767591,6.48768720638152,260.159755593037,deceptive,938,tc,negative
text14,0.523316062176166,5.1407646454488,373.969771000564,improper,193,tc,negative
text9,0.0860834642919504,4.60647087779417,602.822461946388,fair,5727,tc,positive
text10,0.10228705204394,5.38976092053061,424.035250704789,honest,5553,tc,positive
text24,0.157772621809745,7.32411710824678,95.5130517169912,proper,4310,tc,positive
text3,0.162781509284868,5.79076773085251,156.106164242961,careful,2531,tc,positive
text26,0.190063547082611,5.59155197553323,403.27917764248,truthful,1731,tc,positive
