word,cat
honest,tc
fair,tc
safe,tc
prudent,tc
equitable,tc
prompt,tc
fraudulent,tc
cruel,tc
brutal,tc
unfair,tc
dishonest,tc
unjust,tc
excessive,tc
valid,epistemic
factual,epistemic
accurate,epistemic
reliable,epistemic
logical,epistemic
real,epistmic
consistent,epistemic
reasonable,epistemic
invalid,epistemic
adequate,epistemic
unreasonable,epistemic
inaccurate,epistemic
arbitrary,epistemic
inconsistent,epistemic
false,epistemic
insufficient,epistemic
legal,legal
illegal,legal
lawful,legal
impartial,legal
constitutional,legal
legitimate,legal
illegitimate,legal
unconstitutional,legal
unlawful,legal
